	x
771	(((((((((Australopithecus_anamensis:0.221623,(Australopithecus_afarensis:0.135176,((Australopithecus_africanus:0.215828,((Australopithecus_sediba:0.047563,(Homo_habilis:0.140422,((Homo_sapiens:0.129726,Homo_ergaster:0.09582):0.034256,(Homo_rudolfensis:0.027291,Kenyanthropus_platyops:0.25087):0.389156):0.023413):0.117777):0.115345,(Paranthropus_aethiopicus:0.243839,(Paranthropus_boisei:0.023801,Paranthropus_robustus:0.32928):0.133891):0.870974):0.157547):0.161207,Australopithecus_garhi:0.275328):0.005016):0.161447):0.101693,Ardipithecus_ramidus:0.183765):0.119522,Sahelanthropus_tchadensis:0.247904):0.320859,Pan_troglodytes:0.121812):0.136517,Gorilla_gorilla:0.149679):0.168189,Pongo_pygmaeus:0.310106):0.118307,Papio:0.170371):0.142169,Hylobates:0.128768):0,Colobus_guereza:0.132099);
772	((((((((Ardipithecus_ramidus:0.0595,((Australopithecus_garhi:0.294255,(Australopithecus_anamensis:0.199692,((Paranthropus_boisei:0.013793,Paranthropus_robustus:0.588067):0.290301,Paranthropus_aethiopicus:0.066148):0.615185):0.014362):0.061456,(Australopithecus_afarensis:0.097969,(((Kenyanthropus_platyops:0.215105,(Homo_rudolfensis:0.117214,Australopithecus_africanus:0.352836):0.132267):0.191215,((Homo_sapiens:0.213392,Homo_ergaster:0.022403):0.127487,Homo_habilis:0.15134):0.172201):0.07035,Australopithecus_sediba:0.157982):0.278999):0.201841):0.119189):0.03739,Sahelanthropus_tchadensis:0.2097):0.15518,Pan_troglodytes:0.044517):0.125917,Gorilla_gorilla:0.344244):0.010636,Pongo_pygmaeus:0.176614):0.21755,Papio:0.148082):0.29048,Hylobates:0.088323):0,Colobus_guereza:0.158933);
773	((((((((Ardipithecus_ramidus:0.154143,(Australopithecus_anamensis:0.457694,(Australopithecus_afarensis:0.279544,((Australopithecus_sediba:0.086375,((Australopithecus_africanus:0.316497,(Kenyanthropus_platyops:0.040269,Homo_rudolfensis:0.196322):0.032951):0.12701,((Homo_ergaster:0.026693,Homo_sapiens:0.12996):0.102432,Homo_habilis:0.247707):0.11204):0.171738):0.094311,(Australopithecus_garhi:0.07217,((Paranthropus_boisei:0.195006,Paranthropus_robustus:0.344008):0.201221,Paranthropus_aethiopicus:0.021757):0.531086):0.057414):0.142379):0.062152):0.050004):0.028399,Sahelanthropus_tchadensis:0.293666):0.112248,Pan_troglodytes:0.098536):0.026784,Gorilla_gorilla:0.140744):0.056917,Pongo_pygmaeus:0.356377):0.265541,Hylobates:0.085713):0.087295,Papio:0.133707):0,Colobus_guereza:0.03576);
774	((((((((Ardipithecus_ramidus:0.032667,((Australopithecus_afarensis:0.062971,((Australopithecus_africanus:0.217842,(((Kenyanthropus_platyops:0.211193,Homo_rudolfensis:0.137439):0.084012,(Homo_habilis:0.24051,(Homo_sapiens:0.11262,Homo_ergaster:0.101918):0.137484):0.131452):0.047779,Australopithecus_sediba:0.081239):0.045311):0.235152,(Australopithecus_garhi:0.055347,(Paranthropus_aethiopicus:0.037193,(Paranthropus_robustus:0.284599,Paranthropus_boisei:0.029768):0.336433):0.589655):0.13435):0.143009):0.222542,Australopithecus_anamensis:0.290997):0.128341):0.164927,Sahelanthropus_tchadensis:0.135534):0.085348,Pan_troglodytes:0.102966):0.069265,Gorilla_gorilla:0.13094):0.085593,Pongo_pygmaeus:0.167607):0.241709,Papio:0.069177):0.120385,Hylobates:0.087199):0,Colobus_guereza:0.062503);
775	(((((((((Australopithecus_garhi:0.311783,((Australopithecus_afarensis:0.261111,((Australopithecus_sediba:0.055788,(Australopithecus_africanus:0.475497,((Kenyanthropus_platyops:0.084827,Homo_rudolfensis:0.204119):0.086119,((Homo_sapiens:0.162898,Homo_ergaster:0.044084):0.130953,Homo_habilis:0.220931):0.093318):0.03523):0.077979):0.482848,(Paranthropus_aethiopicus:0.02301,(Paranthropus_robustus:0.378441,Paranthropus_boisei:0.076491):0.334825):0.588676):0.047607):0.030912,Australopithecus_anamensis:0.204289):0.044667):0.356263,Ardipithecus_ramidus:0.10037):0.012152,Sahelanthropus_tchadensis:0.234842):0.209729,Pan_troglodytes:0.119296):0.063136,Gorilla_gorilla:0.194942):0.230492,Pongo_pygmaeus:0.309466):0.159034,Papio:0.115382):0.136648,Hylobates:0.210198):0,Colobus_guereza:0.117868);
776	(((((((Ardipithecus_ramidus:0.113652,((Australopithecus_anamensis:0.168707,((Australopithecus_garhi:0.189972,Australopithecus_afarensis:0.380445):0.009002,(Australopithecus_sediba:0.105592,((Australopithecus_africanus:0.406521,(Kenyanthropus_platyops:0.09601,Homo_rudolfensis:0.078205):0.121487):0.139099,(Homo_habilis:0.112972,((Homo_ergaster:0.069659,Homo_sapiens:0.147262):0.096521,((Paranthropus_aethiopicus:0.251419,Paranthropus_robustus:0.332984):0.275789,Paranthropus_boisei:0.085783):0.777362):0.047579):0.264923):0.015355):0.201411):0.187395):0.042646,Sahelanthropus_tchadensis:0.17899):0.013442):0.299467,Pan_troglodytes:0.077381):0.124039,Gorilla_gorilla:0.121713):0.100847,Pongo_pygmaeus:0.129311):0.359953,Papio:0.042438):0.11655,Hylobates:0.189628):0,Colobus_guereza:0.059454);
777	((((((((((((Homo_habilis:0.182089,(Homo_ergaster:0.03945,Homo_sapiens:0.096371):0.2199):0.150102,(Australopithecus_sediba:0.110639,(Australopithecus_africanus:0.27909,(Homo_rudolfensis:0.228555,Kenyanthropus_platyops:0.039897):0.045202):0.175494):0.021478):0.238634,(Australopithecus_garhi:0.063061,Australopithecus_afarensis:0.105414):0.00929):0.189852,(Australopithecus_anamensis:0.253138,((Paranthropus_robustus:0.59601,Paranthropus_boisei:0.068741):0.245651,Paranthropus_aethiopicus:0.017165):0.620788):0.077201):0.163501,Ardipithecus_ramidus:0.041841):0.090571,Sahelanthropus_tchadensis:0.101233):0.192341,Pan_troglodytes:0.103259):0.08018,Gorilla_gorilla:0.205277):0.162298,Pongo_pygmaeus:0.290275):0.069495,Papio:0.135561):0.13843,Hylobates:0.132623):0,Colobus_guereza:0.076675);
778	((((((((((Australopithecus_garhi:0.179027,(Australopithecus_afarensis:0.067809,(((Australopithecus_africanus:0.397046,(Kenyanthropus_platyops:0.129281,Homo_rudolfensis:0.075337):0.057034):0.102587,(((Homo_sapiens:0.244654,Homo_ergaster:0.032489):0.117041,Homo_habilis:0.095686):0.231935,Australopithecus_sediba:0.053817):0.098791):0.184908,((Paranthropus_robustus:0.382744,Paranthropus_boisei:0.119994):0.193758,Paranthropus_aethiopicus:0.017278):0.399503):0.022858):0.00841):0.17447,Australopithecus_anamensis:0.14265):0.146114,Ardipithecus_ramidus:0.03315):0.125698,Sahelanthropus_tchadensis:0.211513):0.124359,Pongo_pygmaeus:0.40366):0.010572,Pan_troglodytes:0.247045):0.068324,Gorilla_gorilla:0.21275):0.342305,Papio:0.112707):0.03427,Hylobates:0.180805):0,Colobus_guereza:0.118291);
779	((((((((Ardipithecus_ramidus:0.219305,((((((Homo_habilis:0.243826,(Homo_sapiens:0.153607,Homo_ergaster:0.038806):0.118608):0.142966,Australopithecus_sediba:0.03972):0.229838,(Homo_rudolfensis:0.178132,Kenyanthropus_platyops:0.010102):0.039099):0.087443,Australopithecus_africanus:0.376237):0.190977,Australopithecus_garhi:0.130849):0.090933,(Australopithecus_anamensis:0.19621,(((Paranthropus_robustus:0.422747,Paranthropus_boisei:0.255418):0.048585,Paranthropus_aethiopicus:0.057216):0.709498,Australopithecus_afarensis:0.181065):0.126797):0.019774):0.076276):0.008674,Sahelanthropus_tchadensis:0.136038):0.212347,Pan_troglodytes:0.116959):0.133923,Gorilla_gorilla:0.135908):0.113807,Pongo_pygmaeus:0.296073):0.223046,Hylobates:0.13513):0.099257,Papio:0.262081):0,Colobus_guereza:0.06137);
780	((((((((Sahelanthropus_tchadensis:0.079801,(Australopithecus_anamensis:0.364917,((Australopithecus_garhi:0.107125,(((((Paranthropus_boisei:0.11215,Paranthropus_aethiopicus:0.234761):0.225655,Paranthropus_robustus:0.121319):0.791569,((Homo_sapiens:0.093814,Homo_ergaster:0.045165):0.168198,Homo_habilis:0.356317):0.030709):0.14897,((Homo_rudolfensis:0.065253,Kenyanthropus_platyops:0.020423):0.242469,Australopithecus_africanus:0.160517):0.242551):0.018703,Australopithecus_sediba:0.080697):0.349037):0.084051,Australopithecus_afarensis:0.080053):0.132568):0.106134):0.102325,Ardipithecus_ramidus:0.079629):0.219328,Pan_troglodytes:0.100025):0.109913,Gorilla_gorilla:0.107558):0.136198,Pongo_pygmaeus:0.361929):0.189292,Papio:0.112971):0.122457,Hylobates:0.1957):0,Colobus_guereza:0.149605);
781	((((((((Ardipithecus_ramidus:0.107543,Sahelanthropus_tchadensis:0.196848):0.008014,(Australopithecus_anamensis:0.237916,(((Australopithecus_garhi:0.140669,((Australopithecus_sediba:0.065748,(Homo_habilis:0.115238,(Homo_ergaster:0.125448,Homo_sapiens:0.109172):0.102791):0.159465):0.036406,(Australopithecus_africanus:0.476578,(Kenyanthropus_platyops:0.113516,Homo_rudolfensis:0.16457):0.055297):0.147182):0.187199):0.002811,Australopithecus_afarensis:0.132811):0.000567,((Paranthropus_robustus:0.482086,Paranthropus_boisei:0.117257):0.225813,Paranthropus_aethiopicus:0.062758):0.616524):0.232282):0.093813):0.207023,Pan_troglodytes:0.104179):0.076697,Gorilla_gorilla:0.184364):0.096836,Pongo_pygmaeus:0.286921):0.292614,Papio:0.11179):0.120883,Hylobates:0.177966):0,Colobus_guereza:0.167124);
782	((((((((((Paranthropus_aethiopicus:0.001392,(Paranthropus_robustus:0.387926,Paranthropus_boisei:0.160307):0.302415):0.802303,((((Kenyanthropus_platyops:0.386213,((Homo_rudolfensis:0.194918,((Homo_sapiens:0.161425,Homo_ergaster:0.063227):0.090197,Homo_habilis:0.310404):0.102612):0.096918,Australopithecus_sediba:0.024205):0.018054):0.168184,Australopithecus_africanus:0.452356):0.066723,(Australopithecus_garhi:0.354354,Australopithecus_afarensis:0.17291):0.069191):0.141843,Australopithecus_anamensis:0.199418):0.000203):0.102553,Sahelanthropus_tchadensis:0.226438):0.085307,Ardipithecus_ramidus:0.193004):0.256587,Pan_troglodytes:0.037086):0.112983,Gorilla_gorilla:0.154423):0.137477,Pongo_pygmaeus:0.414641):0.272612,Papio:0.06102):0.109809,Hylobates:0.136122):0,Colobus_guereza:0.094457);
783	(((((((Ardipithecus_ramidus:0.126694,((Australopithecus_anamensis:0.017723,(Paranthropus_aethiopicus:0.005481,(Paranthropus_robustus:0.414226,Paranthropus_boisei:0.089127):0.233991):0.976872):0.381623,(Sahelanthropus_tchadensis:0.077262,((Australopithecus_garhi:0.134043,((((Homo_sapiens:0.159185,Homo_ergaster:0.046453):0.090263,Homo_habilis:0.221116):0.217588,Australopithecus_sediba:0.044313):0.144982,((Kenyanthropus_platyops:0.093515,Homo_rudolfensis:0.23811):0.13937,Australopithecus_africanus:0.233725):0.100283):0.071668):0.060502,Australopithecus_afarensis:0.172415):0.174625):0.013662):0.209924):0.112075,Pan_troglodytes:0.084634):0.087387,Gorilla_gorilla:0.144948):0.093646,Pongo_pygmaeus:0.508785):0.203397,Hylobates:0.114683):0.102262,Papio:0.160953):0,Colobus_guereza:0.080824);
784	(((((((Ardipithecus_ramidus:0.151061,(Sahelanthropus_tchadensis:0.202767,((((((Kenyanthropus_platyops:0.135194,Homo_rudolfensis:0.093464):0.100212,(Homo_habilis:0.211289,(Homo_sapiens:0.158836,Homo_ergaster:0.098479):0.014604):0.335491):0.100255,Australopithecus_sediba:0.098671):0.167321,Australopithecus_africanus:0.4048):0.065435,Australopithecus_garhi:0.114404):0.240539,((Paranthropus_aethiopicus:0.071004,(Paranthropus_robustus:0.473236,Paranthropus_boisei:0.045894):0.320472):1.134846,(Australopithecus_anamensis:0.375656,Australopithecus_afarensis:0.208924):0.051783):0.049621):0.046043):0.188017):0.231581,Pan_troglodytes:0.051516):0.132462,Gorilla_gorilla:0.21825):0.14306,Pongo_pygmaeus:0.217774):0.152184,Papio:0.150628):0.154365,Hylobates:0.11571):0,Colobus_guereza:0.125768);
785	((((((((((((Australopithecus_afarensis:0.168286,(Australopithecus_sediba:0.190656,((Australopithecus_africanus:0.269738,(Kenyanthropus_platyops:0.064619,Homo_rudolfensis:0.216826):0.004415):0.15856,((Homo_ergaster:0.012665,Homo_sapiens:0.233704):0.157096,Homo_habilis:0.129857):0.281201):0.018393):0.307696):0.012453,Australopithecus_garhi:0.14748):0.018553,(Paranthropus_aethiopicus:0.009248,(Paranthropus_robustus:0.436186,Paranthropus_boisei:0.051658):0.355443):0.583028):0.169601,Australopithecus_anamensis:0.233819):0.136328,Ardipithecus_ramidus:0.044899):0.060124,Sahelanthropus_tchadensis:0.224346):0.18342,Pan_troglodytes:0.093038):0.093854,Gorilla_gorilla:0.134686):0.059185,Pongo_pygmaeus:0.337571):0.312461,Hylobates:0.11625):0.086238,Papio:0.323175):0,Colobus_guereza:0.055922);
786	((((((((Ardipithecus_ramidus:0.127428,(Australopithecus_anamensis:0.149324,(Australopithecus_afarensis:0.192872,(Australopithecus_africanus:0.336357,((Australopithecus_sediba:0.123133,((Homo_rudolfensis:0.095874,Kenyanthropus_platyops:0.165506):0.215802,(Homo_habilis:0.209266,(Homo_ergaster:0.037751,Homo_sapiens:0.155359):0.132809):0.087001):0.146279):0.082461,((Paranthropus_aethiopicus:0.028524,(Paranthropus_robustus:0.449925,Paranthropus_boisei:0.001981):0.389168):0.827296,Australopithecus_garhi:0.076356):0.003868):0.052641):0.224509):0.198171):0.185542):0.040367,Sahelanthropus_tchadensis:0.230082):0.209331,Pan_troglodytes:0.186373):0.18818,Gorilla_gorilla:0.265099):0.035743,Pongo_pygmaeus:0.394596):0.172113,Hylobates:0.183107):0.079908,Papio:0.194429):0,Colobus_guereza:0.149022);
787	((((((((Ardipithecus_ramidus:0.183828,(Australopithecus_anamensis:0.312517,((Australopithecus_garhi:0.153867,(Paranthropus_aethiopicus:0.301899,(Paranthropus_boisei:0.206269,Paranthropus_robustus:0.628974):0.048695):0.47331):0.19939,((((Homo_habilis:0.125685,(Homo_sapiens:0.160074,Homo_ergaster:0.020601):0.280102):0.222415,Australopithecus_sediba:0.002427):0.070414,((Australopithecus_africanus:0.369276,Homo_rudolfensis:0.157676):0.046648,Kenyanthropus_platyops:0.055928):0.110706):0.150325,Australopithecus_afarensis:0.188627):0.054682):0.144601):0.025231):0.04077,Sahelanthropus_tchadensis:0.159315):0.135301,Pan_troglodytes:0.084532):0.10492,Gorilla_gorilla:0.091927):0.218565,Pongo_pygmaeus:0.287374):0.05368,Papio:0.201287):0.026287,Hylobates:0.094511):0,Colobus_guereza:0.099954);
788	(((((((Ardipithecus_ramidus:0.113037,((Australopithecus_afarensis:0.307977,((((Australopithecus_sediba:0.013291,(Homo_habilis:0.132392,(Homo_sapiens:0.103813,Homo_ergaster:0.070228):0.085244):0.270483):0.081694,((Homo_rudolfensis:0.139747,Australopithecus_africanus:0.303533):0.083766,Kenyanthropus_platyops:0.141271):0.243151):0.259859,((Paranthropus_boisei:0.110726,Paranthropus_robustus:0.344875):0.410855,Paranthropus_aethiopicus:0.034912):0.41269):0.057353,Australopithecus_anamensis:0.218523):0.061543):0.030784,(Sahelanthropus_tchadensis:0.255025,Australopithecus_garhi:0.345677):0.018244):0.145032):0.126206,Pan_troglodytes:0.060147):0.071885,Gorilla_gorilla:0.154048):0.070288,Pongo_pygmaeus:0.12595):0.292338,Hylobates:0.052433):0.075641,Papio:0.1539):0,Colobus_guereza:0.09834);
789	(((((((((((Paranthropus_aethiopicus:0.039082,(Paranthropus_robustus:0.296793,Paranthropus_boisei:0.292355):0.252579):0.506437,Australopithecus_anamensis:0.326133):0.052993,(((Australopithecus_sediba:0.058117,((Australopithecus_africanus:0.267073,(Homo_rudolfensis:0.398794,Kenyanthropus_platyops:0.044316):0.064115):0.295936,((Homo_ergaster:0.015815,Homo_sapiens:0.171828):0.199874,Homo_habilis:0.199325):0.368583):0.008088):0.280184,Australopithecus_afarensis:0.053955):0.125501,Australopithecus_garhi:0.103611):0.114056):0.253018,Ardipithecus_ramidus:0.143064):0.015332,Sahelanthropus_tchadensis:0.279562):0.155568,Pan_troglodytes:0.064256):0.062226,Gorilla_gorilla:0.19934):0.104718,Pongo_pygmaeus:0.30122):0.138775,Hylobates:0.098584):0.183408,Papio:0.246692):0,Colobus_guereza:0.077927);
790	(((((((Ardipithecus_ramidus:0.091011,((Australopithecus_anamensis:0.231777,(Australopithecus_afarensis:0.124785,(((Australopithecus_sediba:0.05699,(Homo_habilis:0.13089,(Homo_ergaster:0.032358,Homo_sapiens:0.260809):0.09997):0.192188):0.025169,((Homo_rudolfensis:0.116005,Australopithecus_africanus:0.371328):0.098963,Kenyanthropus_platyops:0.01597):0.306321):0.174947,((Paranthropus_aethiopicus:0.091121,(Paranthropus_boisei:0.111014,Paranthropus_robustus:0.300462):0.286065):0.617502,Australopithecus_garhi:0.143767):0.111141):0.219898):0.155107):0.131416,Sahelanthropus_tchadensis:0.145064):0.076703):0.223764,Pan_troglodytes:0.100934):0.042632,Gorilla_gorilla:0.250448):0.126032,Pongo_pygmaeus:0.243287):0.190766,Papio:0.123762):0.077046,Hylobates:0.243288):0,Colobus_guereza:0.058959);
791	(((((((((Australopithecus_anamensis:0.218145,(Australopithecus_afarensis:0.143983,((Australopithecus_garhi:0.109219,((Paranthropus_robustus:0.419346,Paranthropus_boisei:0.034288):0.236147,Paranthropus_aethiopicus:0.015369):0.564086):0.04745,(Australopithecus_africanus:0.458568,((Homo_rudolfensis:0.151546,Kenyanthropus_platyops:0.170306):0.205226,(((Homo_ergaster:0.017215,Homo_sapiens:0.191142):0.221335,Homo_habilis:0.228583):0.267029,Australopithecus_sediba:0.022668):0.10705):0.066491):0.191139):0.038905):0.150693):0.178108,Ardipithecus_ramidus:0.141007):0.073418,Sahelanthropus_tchadensis:0.207914):0.113136,Pan_troglodytes:0.037647):0.052925,Gorilla_gorilla:0.093248):0.047604,Pongo_pygmaeus:0.286269):0.210656,Papio:0.161424):0.082368,Hylobates:0.132445):0,Colobus_guereza:0.083742);
792	(((((((Ardipithecus_ramidus:0.107645,((Australopithecus_anamensis:0.21037,(Australopithecus_afarensis:0.098343,((Australopithecus_africanus:0.40108,(Australopithecus_sediba:0.015254,((Kenyanthropus_platyops:0.121362,Homo_rudolfensis:0.110758):0.282056,((Homo_sapiens:0.151134,Homo_ergaster:0.048467):0.074751,Homo_habilis:0.135024):0.082209):0.103091):0.156901):0.149925,(((Paranthropus_boisei:0.053412,Paranthropus_robustus:0.417145):0.52032,Paranthropus_aethiopicus:0.031287):0.714189,Australopithecus_garhi:0.078802):0.099968):0.206979):0.144191):0.15655,Sahelanthropus_tchadensis:0.298773):0.088397):0.151411,Pan_troglodytes:0.023412):0.129486,Gorilla_gorilla:0.220749):0.122923,Pongo_pygmaeus:0.389057):0.18613,Papio:0.085116):0.150382,Hylobates:0.118331):0,Colobus_guereza:0.067639);
793	((((((((Ardipithecus_ramidus:0.063903,(Australopithecus_anamensis:0.268898,(((Australopithecus_africanus:0.445458,((Kenyanthropus_platyops:0.276183,Homo_rudolfensis:0.185998):0.184801,(Australopithecus_sediba:0.006694,((Paranthropus_aethiopicus:0.144678,(Paranthropus_boisei:0.125106,Paranthropus_robustus:0.434258):0.088083):0.709394,((Homo_ergaster:0.064543,Homo_sapiens:0.125065):0.103872,Homo_habilis:0.212219):0.184162):0.035444):0.087408):0.065827):0.139263,Australopithecus_garhi:0.131595):0.088714,Australopithecus_afarensis:0.311723):0.055169):0.090824):0.081238,Sahelanthropus_tchadensis:0.114581):0.175672,Pan_troglodytes:0.110209):0.17093,Gorilla_gorilla:0.217566):0.053739,Pongo_pygmaeus:0.325517):0.19782,Papio:0.126922):0.08538,Hylobates:0.13103):0,Colobus_guereza:0.071099);
794	((((((((((((((Paranthropus_boisei:0.031341,Paranthropus_robustus:0.450211):0.289617,Paranthropus_aethiopicus:0.029114):0.771053,(((Homo_habilis:0.192214,(Homo_ergaster:0.043655,Homo_sapiens:0.150305):0.170468):0.258879,Australopithecus_sediba:0.074784):0.003749,(Australopithecus_africanus:0.355803,(Homo_rudolfensis:0.142521,Kenyanthropus_platyops:0.106645):0.020215):0.121468):0.087444):0.188221,Australopithecus_garhi:0.105016):0.029478,Australopithecus_afarensis:0.200605):0.19175,Australopithecus_anamensis:0.39139):0.105801,Ardipithecus_ramidus:0.096169):0.024308,Sahelanthropus_tchadensis:0.209742):0.108284,Pan_troglodytes:0.067493):0.064766,Gorilla_gorilla:0.08838):0.066187,Pongo_pygmaeus:0.30271):0.151462,Papio:0.180565):0.11111,Hylobates:0.223877):0,Colobus_guereza:0.112022);
795	((((((((((Australopithecus_afarensis:0.174752,((Australopithecus_garhi:0.120931,((Australopithecus_sediba:0.023984,(Homo_habilis:0.24671,(Homo_ergaster:0.074585,Homo_sapiens:0.132157):0.202618):0.243217):0.02841,(Australopithecus_africanus:0.315543,(Homo_rudolfensis:0.228613,Kenyanthropus_platyops:0.027251):0.046303):0.104376):0.200533):0.06112,(Paranthropus_aethiopicus:0.010693,(Paranthropus_robustus:0.307742,Paranthropus_boisei:0.118809):0.488325):0.585725):0.025939):0.148357,Australopithecus_anamensis:0.215751):0.212117,Ardipithecus_ramidus:0.183867):0.030508,Sahelanthropus_tchadensis:0.252557):0.206488,Pan_troglodytes:0.09754):0.09244,Gorilla_gorilla:0.218761):0.068556,Pongo_pygmaeus:0.266394):0.200923,Papio:0.068677):0.151266,Hylobates:0.123306):0,Colobus_guereza:0.13738);
796	((((((((Sahelanthropus_tchadensis:0.139306,(Australopithecus_anamensis:0.226218,((((Australopithecus_sediba:0.013199,(((Paranthropus_aethiopicus:0.513597,Paranthropus_boisei:0.011381):0.16844,Paranthropus_robustus:0.41274):0.599409,((Homo_sapiens:0.209016,Homo_ergaster:0.030853):0.071785,Homo_habilis:0.134276):0.141558):0.025811):0.211234,(Australopithecus_africanus:0.404112,(Homo_rudolfensis:0.077156,Kenyanthropus_platyops:0.039095):0.07257):0.054962):0.122482,Australopithecus_garhi:0.056108):0.106585,Australopithecus_afarensis:0.147959):0.136287):0.161792):0.050483,Ardipithecus_ramidus:0.153775):0.130732,Pan_troglodytes:0.123601):0.095548,Gorilla_gorilla:0.210894):0.047895,Pongo_pygmaeus:0.310162):0.221543,Papio:0.055855):0.201093,Hylobates:0.176206):0,Colobus_guereza:0.078521);
797	(((((((((Australopithecus_anamensis:0.345419,(((Paranthropus_aethiopicus:0.106596,(Paranthropus_robustus:0.413015,Paranthropus_boisei:0.141991):0.465176):0.616431,Australopithecus_garhi:0.029718):0.093239,(Australopithecus_afarensis:0.201483,(((((Homo_ergaster:0.059097,Homo_sapiens:0.188132):0.091748,(Homo_rudolfensis:0.041382,Kenyanthropus_platyops:0.529103):0.360865):0.013351,Homo_habilis:0.174284):0.12252,Australopithecus_africanus:0.386365):0.003099,Australopithecus_sediba:0.252439):0.221097):0.01617):0.124876):0.092102,Ardipithecus_ramidus:0.171978):0.028009,Sahelanthropus_tchadensis:0.04324):0.257892,Pan_troglodytes:0.13493):0.083092,Gorilla_gorilla:0.1141):0.059426,Pongo_pygmaeus:0.409783):0.271481,Papio:0.085039):0.1063,Hylobates:0.233842):0,Colobus_guereza:0.09385);
798	(((((((Ardipithecus_ramidus:0.115792,((Australopithecus_anamensis:0.336427,((((Paranthropus_boisei:0.053066,Paranthropus_robustus:0.526932):0.265266,Paranthropus_aethiopicus:0.043778):0.572706,Australopithecus_garhi:0.095313):0.104699,((Homo_habilis:0.175583,(Homo_ergaster:0.018191,Homo_sapiens:0.147556):0.103394):0.144105,((Homo_rudolfensis:0.074683,Kenyanthropus_platyops:0.217844):0.146091,(Australopithecus_sediba:0.142402,Australopithecus_africanus:0.379411):0.057751):0.098744):0.153908):0.09334):0.022944,Australopithecus_afarensis:0.225981):0.147114):0.020402,Sahelanthropus_tchadensis:0.278467):0.20906,Pan_troglodytes:0.036078):0.163593,(Gorilla_gorilla:0.192607,Pongo_pygmaeus:0.332524):0.034103):0.33515,Papio:0.133486):0.068372,Hylobates:0.161838):0,Colobus_guereza:0.119962);
799	((((((((((((((Kenyanthropus_platyops:0.016463,Homo_rudolfensis:0.181465):0.109516,(Australopithecus_sediba:0.090473,((Homo_ergaster:0.061405,Homo_sapiens:0.145502):0.024602,Homo_habilis:0.209775):0.181613):0.149074):0.014054,Australopithecus_africanus:0.331799):0.057432,Australopithecus_garhi:0.038352):0.148165,(Australopithecus_afarensis:0.255397,((Paranthropus_boisei:0.038582,Paranthropus_robustus:0.219118):0.346269,Paranthropus_aethiopicus:0.020036):0.656681):0.024968):0.151289,Australopithecus_anamensis:0.292446):0.134451,Sahelanthropus_tchadensis:0.21694):0.237869,Ardipithecus_ramidus:0.13026):0.177931,Pan_troglodytes:0.0805):0.139867,Gorilla_gorilla:0.086562):0.04029,Pongo_pygmaeus:0.384088):0.298044,Papio:0.077518):0.169336,Hylobates:0.207408):0,Colobus_guereza:0.069796);
800	((((((((Australopithecus_anamensis:0.325292,(Sahelanthropus_tchadensis:0.243813,(Australopithecus_afarensis:0.15054,(Australopithecus_garhi:0.131104,(Kenyanthropus_platyops:0.163927,(Australopithecus_africanus:0.252369,(((Paranthropus_aethiopicus:0.151694,(Paranthropus_boisei:0.024341,Paranthropus_robustus:0.301389):0.24814):0.63508,(Homo_rudolfensis:0.157039,(Homo_habilis:0.28901,(Homo_ergaster:0.023123,Homo_sapiens:0.174356):0.009057):0.212564):0.047197):0.06271,Australopithecus_sediba:0.041856):0.11299):0.080572):0.152823):0.036846):0.286388):0.031353):0.079693,Ardipithecus_ramidus:0.037016):0.218618,Pan_troglodytes:0.045257):0.076227,Gorilla_gorilla:0.151469):0.07389,Pongo_pygmaeus:0.212177):0.136156,Papio:0.070827):0.127546,Hylobates:0.143882):0,Colobus_guereza:0.073039);
801	(((((((((Australopithecus_anamensis:0.234516,((Australopithecus_afarensis:0.186191,(Paranthropus_aethiopicus:0.151071,(Paranthropus_boisei:0.055661,Paranthropus_robustus:0.2548):0.235307):0.689993):0.010358,((Australopithecus_sediba:0.12609,(((Homo_ergaster:0.032396,Homo_sapiens:0.14715):0.123811,Homo_habilis:0.106518):0.141238,((Homo_rudolfensis:0.123646,Kenyanthropus_platyops:0.073075):0.101892,Australopithecus_africanus:0.341021):0.113642):0.076093):0.175678,Australopithecus_garhi:0.142228):0.044527):0.078452):0.117521,Ardipithecus_ramidus:0.114582):0.160366,Sahelanthropus_tchadensis:0.184928):0.172083,Pan_troglodytes:0.054874):0.126672,Gorilla_gorilla:0.115056):0.116803,Pongo_pygmaeus:0.2359):0.11775,Papio:0.0522):0.277232,Hylobates:0.136448):0,Colobus_guereza:0.113443);
802	((((((((Sahelanthropus_tchadensis:0.188303,((((Australopithecus_garhi:0.125706,Australopithecus_afarensis:0.224176):0.022056,(((Australopithecus_africanus:0.211663,(Kenyanthropus_platyops:0.027485,Homo_rudolfensis:0.176635):0.092374):0.104978,((Homo_ergaster:0.066241,Homo_sapiens:0.130176):0.081839,Homo_habilis:0.100054):0.141363):0.050126,Australopithecus_sediba:0.005794):0.363953):0.022648,((Paranthropus_robustus:0.22772,Paranthropus_boisei:0.27738):0.239352,Paranthropus_aethiopicus:0.196587):0.522371):0.048737,Australopithecus_anamensis:0.32352):0.017821):0.191747,Ardipithecus_ramidus:0.043862):0.225075,Pan_troglodytes:0.070755):0.108871,Gorilla_gorilla:0.141717):0.091326,Pongo_pygmaeus:0.182292):0.344587,Hylobates:0.05094):0.140674,Papio:0.217559):0,Colobus_guereza:0.045655);
